"D1","D2","norm_auc"
3,1.04,0.0396599519201052
1,1.06,0.078763644889276
1.02,1.06,0.0801315625516029
1.04,1.06,0.0810829599634136
1.06,1.06,0.0816460852156863
1.08,1.06,0.0818180598234699
1.1,1.06,0.0816655586203142
1.12,1.06,0.0812570581415438
1.14,1.06,0.080737333650449
1.16,1.06,0.0799910571602999
1.18,1.06,0.0791404139162689
1.2,1.06,0.0782025227189264
1.22,1.06,0.0771378629213376
1.24,1.06,0.0761255040289224
1.26,1.06,0.0751499828997866
1.28,1.06,0.0740347542453991
1.3,1.06,0.0729758150451695
1.32,1.06,0.0719796312791503
1.34,1.06,0.0709227309269933
1.36,1.06,0.0698506097877795
1.38,1.06,0.0689015039604725
1.4,1.06,0.0679752834857256
1.42,1.06,0.0669758345111559
1.44,1.06,0.0661322573118006
1.46,1.06,0.0652557732826996
1.48,1.06,0.0643840059916655
1.5,1.06,0.0636516563707899
1.52,1.06,0.0627854755535527
1.54,1.06,0.0620644093086168
1.56,1.06,0.0612495405931796
1.58,1.06,0.0604755383212632
1.6,1.06,0.0598437428128317
1.62,1.06,0.0591362269776822
1.64,1.06,0.0585682887253394
1.66,1.06,0.0578585400233554
1.68,1.06,0.0572590430064605
1.7,1.06,0.0567585567989096
1.72,1.06,0.056056188259641
1.74,1.06,0.0556464909293502
1.76,1.06,0.0549456486961718
1.78,1.06,0.0545685509237065
1.8,1.06,0.0541603075787947
1.82,1.06,0.0534931962000675
1.84,1.06,0.0533073384507876
1.86,1.06,0.0527274104511897
1.88,1.06,0.0523293931108294
1.9,1.06,0.0519709373912634
1.92,1.06,0.0516626545393746
1.94,1.06,0.0511977032084233
1.96,1.06,0.050787005665142
1.98,1.06,0.0503131586925537
2,1.06,0.0498375606453724
2.02,1.06,0.0496500290885901
2.04,1.06,0.0494574004771767
2.06,1.06,0.0487927292678033
2.08,1.06,0.0486039467704748
2.1,1.06,0.0482891355158169
2.12,1.06,0.0481167691401653
2.14,1.06,0.0478231422470984
2.16,1.06,0.0474785592509872
2.18,1.06,0.0472397744760829
2.2,1.06,0.0468204451308747
2.22,1.06,0.0467875634267703
2.24,1.06,0.046459049656797
2.26,1.06,0.0461212571699199
2.28,1.06,0.0458386466193214
2.3,1.06,0.0456934717987685
2.32,1.06,0.0455056279557572
2.34,1.06,0.0451118595117817
2.36,1.06,0.0449022278516711
2.38,1.06,0.0449944684018468
2.4,1.06,0.0447387786731695
2.42,1.06,0.0444142361951565
2.44,1.06,0.0443790067999007
2.46,1.06,0.0441019399084334
2.48,1.06,0.0440083990105669
2.5,1.06,0.0435871071576401
2.52,1.06,0.0435490253921294
2.54,1.06,0.0433681197389964
2.56,1.06,0.042986260626724
2.58,1.06,0.0427938683956373
2.6,1.06,0.0428747783047061
2.62,1.06,0.0426094072956333
2.64,1.06,0.0424455557412173
2.66,1.06,0.0424696814846915
2.68,1.06,0.0421759186719771
2.7,1.06,0.0421629777982886
2.72,1.06,0.0418901123683518
2.74,1.06,0.0417505972335511
2.76,1.06,0.041471963308771
2.78,1.06,0.041712288972811
2.8,1.06,0.0413971117481462
2.82,1.06,0.0412792087556296
2.84,1.06,0.0410525586720905
2.86,1.06,0.0410187549089457
2.88,1.06,0.0408527397872629
2.9,1.06,0.0406777006937259
2.92,1.06,0.0406018716223601
2.94,1.06,0.0403842365924328
2.96,1.06,0.0405060015149119
